,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y
0,11,Fauna,Peixes Marinhos,Achiridae,Achirus mucuri,Solha,Vulnerável (VU),VU,Mata Atlântica,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Poluição Assoreamento,Sim,Não,Não,1.0,Sim,BA,BA
1,63,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla brevipalma,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,SC,SC
2,64,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla camargoi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,RS
3,64,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla camargoi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,SC
4,65,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla cavernicola,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Assentamento Humano:cidades; Poluição,Sim,Não,Não,2.0,Sim,SP,SP
5,66,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla franca,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte,Não,Sim,Não,1.0,Sim,MG; SP,MG
6,66,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla franca,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte,Não,Sim,Não,1.0,Sim,MG; SP,SP
7,67,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla grisella,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Transporte; Poluição,Não,Sim,Não,1.0,Sim,RS,RS
8,68,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inconspicua,Egla,Vulnerável (VU),VU,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS,RS
9,69,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inermis,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Transporte; Poluição,Sim,Sim,Não,2.0,Sim,RS,RS
