group,family,simplified_species,commum_name,threat_category,acronym_threat_category,presence_in_protected_areas,national_action_plan_for_conservation_,fishing_planning,level_of_protection_in_the_national_strategy,exclusive_species_of_brazil,occurrence_states_y,main_threats_y,biome,category,lats_longs_animals
<<<<<<< HEAD
Marine Fish,Achiridae,Achirus mucuri,Halibut,Vulnerable (VU),VU,Yes,No,No,1.0,Yes,BA,Agriculture,Atlantic Forest,Invertebrates and Crustaceans,[-42.74583795  -9.61074404]
Marine Fish,Achiridae,Achirus mucuri,Halibut,Vulnerable (VU),VU,Yes,No,No,1.0,Yes,BA,Pollution,Atlantic Forest,Invertebrates and Crustaceans,[-42.36312696  -9.34803266]
Marine Fish,Achiridae,Achirus mucuri,Halibut,Vulnerable (VU),VU,Yes,No,No,1.0,Yes,BA,Wildfires,Atlantic Forest,Invertebrates and Crustaceans,[-46.28676432 -13.14661749]
Aquatic Invertebrates,Aeglidae,Aegla brevipalma,Egla,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,SC,Fishing,Atlantic Forest,Arthropods,[-51.03999406 -27.78836195]
Aquatic Invertebrates,Aeglidae,Aegla camargoi,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,RS,Fishing,Atlantic Forest,Arthropods,[-53.4598915  -33.20905974]
Aquatic Invertebrates,Aeglidae,Aegla camargoi,Egla,Endangered (EN),EN,No,Yes,No,1.0,Yes,SC,Fishing,Atlantic Forest,Arthropods,[-53.70685952 -27.00520369]
Aquatic Invertebrates,Aeglidae,Aegla cavernicola,Egla,Critically Endangered (CR),CR,Yes,No,No,2.0,Yes,SP,Fishing,Atlantic Forest,Arthropods,[-45.5232872  -23.73063172]
Aquatic Invertebrates,Aeglidae,Aegla franca,Egla,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,MG,Fishing,Atlantic Forest,Arthropods,[-46.71274164 -17.50357581]
Aquatic Invertebrates,Aeglidae,Aegla franca,Egla,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,SP,Fishing,Atlantic Forest,Arthropods,[-45.78834157 -23.67316972]
