,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y,lats_longs_animals
0,11,Fauna,Peixes Marinhos,Achiridae,Achirus mucuri,Solha,Vulnerável (VU),VU,Mata Atlântica,Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Poluição Assoreamento,Sim,Não,Não,1.0,Sim,BA,BA,[-38.65247247 -16.32229952]
1,63,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla brevipalma,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,SC,SC,[-47.48048528 -26.30592364]
2,64,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla camargoi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,RS,[-50.43084496 -28.15108106]
3,64,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla camargoi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Não,Sim,Não,1.0,Sim,RS; SC,SC,[-46.87236052 -25.71924848]
4,65,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla cavernicola,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Assentamento Humano:cidades; Poluição,Sim,Não,Não,2.0,Sim,SP,SP,[-43.23592057 -22.00963916]
5,66,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla franca,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte,Não,Sim,Não,1.0,Sim,MG; SP,MG,[-45.5466111  -15.75052808]
6,66,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla franca,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte,Não,Sim,Não,1.0,Sim,MG; SP,SP,[-45.85614603 -20.80324146]
7,67,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla grisella,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Transporte; Poluição,Não,Sim,Não,1.0,Sim,RS,RS,[-51.01803491 -26.46768722]
8,68,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inconspicua,Egla,Vulnerável (VU),VU,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS,RS,[-48.70174078 -28.34609551]
9,69,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla inermis,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Outras Atividades Econômicas:Transporte; Poluição,Sim,Sim,Não,2.0,Sim,RS,RS,[-50.002697   -29.29376183]
10,70,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla itacolomiensis,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS,[-51.51842285 -26.90563481]
11,71,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla lata,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária; Poluição; Queimadas,Não,Sim,Não,1.0,Sim,PR,PR,[-48.21729036 -22.83218854]
12,72,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leachi,Egla,Em Perigo (EN),EN,Mata Atlântica,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,SC,SC,[-49.13931429 -25.97934693]
13,73,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptochela,Egla,Criticamente em Perigo (CR),CR,Mata Atlântica,Especies Exoticas; Mineracao; Outras Atividades Econômicas:Turismo,Não,Não,Não,1.0,Sim,SP,SP,[-46.01730341 -19.26716818]
14,74,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptodactyla,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS; SC,RS,[-51.61559631 -30.97549469]
15,74,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla leptodactyla,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Outras Atividades Econômicas:Energia,Sim,Sim,Não,1.0,Sim,RS; SC,SC,[-46.94873917 -25.37611066]
16,75,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla ligulata,Egla,Vulnerável (VU),VU,Mata Atlântica,Agropecuária; Poluição,Sim,Sim,Não,2.0,Sim,RS,RS,[-51.70868176 -25.63955632]
17,76,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla manuinflata,Egla,Em Perigo (EN),EN,Mata Atlântica; Pampa,Agropecuária; Poluição,Não,Sim,Não,1.0,Sim,RS,RS,[-51.07718976 -30.4231453 ]
